GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200032_s_at 10.7669360481014 10.5533314568557 10.9152888600548 10.6958570015646 10.6065291978822 10.8025310907291 10.7579221654793 10.8359458554292 10.7190515332811 10.528075523999
200033_at 8.41827678255725 8.49314783859314 8.62015347754828 8.23010058336527 8.41015309690468 8.62216412342954 8.98718238937447 8.77384840424646 8.67685618483205 8.82789884878062
200034_s_at 10.2914058767975 9.99578899696854 10.1735116424892 10.0069700281813 9.88671602523483 10.077825145945 10.2202177001121 10.0349838014147 9.63053509289194 9.8287054375619
200035_at 7.82917922785984 7.74632555781434 7.85431926808312 7.66105140608114 8.00614020675121 7.69895233680805 7.40057855596665 7.50788899716578 7.97515430965541 7.78568299670945
200036_s_at 9.23121342101317 8.75379556025487 9.10538861318215 8.74793848089612 8.70146198067352 9.00493769217903 8.94397178038348 8.87574174491321 8.76017737143941 8.99984841828212
200037_s_at 7.51744856529591 7.48816052208601 7.79243168839736 6.99946223209952 7.0950293532014 7.34743638487284 7.85225407284565 7.2386260832941 7.90761787178343 7.66372898102277
200038_s_at 10.4840363297215 10.0029916037426 10.2927407217128 10.0426527404488 10.0360555508734 10.1330810376667 10.0696268593358 10.1016499497594 10.1615686228749 10.2656751576493
200039_s_at 7.66293415403075 7.67189704638478 7.69996732314735 7.18512342371124 7.70535074593363 7.72772843177041 8.18855156973502 7.70087799878685 7.43729238245831 7.68203591723848
200040_at 7.91255926552931 7.88087468775053 8.13175142677812 7.96024470031917 8.20487148219508 8.20764988806059 8.41316619350602 8.27308846371547 8.01639577094939 7.91889465397115
200041_s_at 7.99535307978338 8.03191493606124 8.31958012995766 8.18780499885216 8.74859972058267 8.24676370562191 7.52973005798693 8.17701452481129 8.27739899916629 8.17282314923085
200042_at 7.06635888875427 7.19875641187871 7.16008739359336 6.83942292398559 7.10525200651043 7.24343192182167 7.65739768749414 7.11204940932326 7.24341139175823 7.38219574838142
200043_at 8.76611406553748 8.82447188550594 9.08929396730052 8.71816262114285 8.65955454294107 8.97724017107167 9.20450611939049 9.09458805547315 8.65547909864426 9.06564332115101
200044_at 7.68120773388404 7.66255666126626 7.59126964744792 7.36448033682286 7.3490717660187 7.83346017888104 8.00771324615172 7.70651218605435 7.36179130309581 7.66938114212733
200045_at 6.83473964887281 7.07012238117574 6.78703661198377 6.67563540390025 6.90903681751296 6.81032502633094 6.73445587307856 6.65612456726378 6.9077621666924 7.06879558420459
200046_at 7.4455753615741 7.31842444089133 7.35175711485353 6.64845783951276 7.31013978395525 7.28003701094565 7.51737883177722 7.16278506346082 6.86790189113694 7.04719077430959
200047_s_at 7.62561327774314 6.87257719216701 6.87303023236436 6.43392727197721 6.81299393061079 6.53913795887989 6.84096616512366 6.74828835538803 6.82849165168068 6.92813658683686
200048_s_at 9.09761109114145 8.74845297010885 8.4894440497833 8.25873233625152 8.6824277324202 8.58958789780498 8.60070054601875 8.35990113289066 8.0833341261518 8.50657993664739
200049_at 6.60424879121414 6.71656471464234 6.6952087764409 6.88765124913355 6.98628952690949 6.95988203943386 6.74620404661452 7.01106334220379 6.51499816092862 6.63922402811674
200050_at 6.58836826764573 6.95772025942086 7.07001239688065 6.68156239745463 6.32344867665621 6.52009615900118 6.92358781762658 6.86779646304635 7.23146442943195 7.17080089114583
