GSM506015 GSM506016 GSM506017 GSM506018 GSM506021 GSM506022 GSM506013 GSM506014 GSM506019
200629_at 8.46591076581143 8.23262023479585 8.21162870044441 8.59129792680963 8.61971237307533 7.53570317693457 8.05916733279094 8.72610789507659 8.50603929360963
200630_x_at 9.33550435074522 9.74005664972783 9.3781164602393 9.50631832451476 10.0194763548647 9.33550547367784 9.48914237168501 9.40065688081356 9.41067733539568
200631_s_at 9.48060160244976 9.69547408931282 9.29477817753381 9.66978258225228 9.86534474804255 9.64362513685733 9.63742674042736 9.66984563739161 9.95689908002134
200632_s_at 11.1457524108879 11.3967760334932 11.0468608020411 11.402163824867 11.5288669783644 10.8133563512467 11.0124342749344 11.1938038500645 11.1510111550369
200633_at 12.8352224267502 12.9597979103886 12.8530719791443 12.9678392740846 13.0788561051991 12.5277639409478 13.4380172928271 13.1025275405091 12.9597979103886
200634_at 10.2960077969079 9.53623529972596 9.10282357239429 9.88190263281992 9.86163824118862 9.05324996752205 9.49262542762952 9.6062716054728 9.35890255816583
200635_s_at 7.38193548206081 7.40918275166551 7.32668455582495 7.40918275166551 7.40918275166551 7.45230840773435 7.40918275166551 7.43794587921713 7.33853320493511
200636_s_at 8.12995328077012 8.14180890783176 8.33292036482598 8.59959970673426 8.16246477909031 8.26106342056322 8.38563492950959 8.45709433041499 8.35462073793222
200637_s_at 6.83218184769506 6.84027711442935 6.7162138736216 6.74224844176374 6.5268707989728 7.02048955397264 6.6368750501434 6.77960553628267 6.77960553628267
200638_s_at 9.86820506217673 9.86479186244847 9.28431244350675 8.97944556382584 9.36499431651643 9.09064430511625 10.0313509354522 10.1420119960986 9.37267225952367
200639_s_at 9.72934860432412 9.56919179023333 9.72934860432412 9.6226107976738 9.69592205960496 9.52786772237287 9.98421963563687 9.88290782776686 9.72934860432412
200640_at 10.0163235763055 9.69340929406044 9.51949797152938 9.35002064520872 9.28429756722413 9.52484922454348 9.88870161050973 10.0790894051214 9.45274025158373
200641_s_at 9.42948807676719 9.33766253056131 9.10630394232738 8.67432481563822 8.77619496120837 9.16996936625313 9.24187488638806 9.51420391651071 8.6456421899447
200642_at 11.7222024656795 11.6134410458424 11.0452044736201 10.904487808073 11.5267687027426 11.2554718449561 11.9043038085082 11.9429535156946 11.3296145713351
200643_at 8.48871470291409 8.38308365163761 8.04373535742373 8.33047382644547 8.36581685869163 8.1818137065588 8.39783253371352 8.49890915650052 8.36581685869163
200644_at 11.2594136980695 10.7525430721043 11.399736685534 11.8740089825674 11.8310730450056 11.1401012478259 11.8244310616768 11.4111832797453 11.5024696260589
